file,prefix,caption,root_class,field_count,enter_count,num_count,date_count,combo_count,check_count,tab_count,grid_count,total_controls
T7POP.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
T7POPGET.DFM,T7PO,POP Caption,TEditForm4,10,5,0,5,0,0,0,0,21
T7POS.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
T7POSCD.DFM,T7PO,Cash Due,TEditForm2,3,0,3,0,0,0,0,0,10
T7POSI.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
T7POSX.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
T7pojcqc.DFM,T7PO,Multi Scrap Codes,TEditForm3,4,0,3,0,1,0,0,0,13
T7pojcsc.DFM,T7PO,Multi Scrap Codes,TEditForm2,4,0,3,0,1,0,0,0,13
t7POQ.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
t7poc.DFM,T7PO,,TRtnTimer,0,0,0,0,0,0,0,0,1
T7PRA.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRB.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRC.DFM,T7PR,PR-C,TEditForm1,10,0,0,2,5,3,0,0,33
T7PRD.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRDIVFIX.DFM,T7PR,New Screen,TEditForm1,2,1,0,0,0,0,0,0,10
T7PRE.DFM,T7PR,PR-E,TEditForm1,4,0,0,0,3,1,0,0,22
T7PRF.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRFIX.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRG.DFM,T7PR,PR-G,TEditForm1,9,3,0,2,3,1,0,0,30
T7PRH.DFM,T7PR,PR-H,TEditForm3,82,21,58,1,2,0,0,0,117
T7PRI.DFM,T7PR,PR-I,TEditForm1,7,0,0,2,3,2,0,0,27
T7PRJ.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRJCSYNC.DFM,T7PR,New Screen,TEditForm1,2,1,0,0,0,0,0,0,10
T7PRK.DFM,T7PR,PR-K  Print/Post Time Cards,TEditForm1,13,1,0,4,7,1,0,0,45
T7PRLA.DFM,T7PR,PR-L-A,TEditForm1,6,0,0,0,5,1,0,0,27
T7PRLB.DFM,T7PR,PR-L-B,TEditForm1,8,0,0,2,5,1,0,0,30
T7PRLC.DFM,T7PR,PR-L-C,TEditForm1,16,1,5,2,5,3,0,0,47
T7PRLD.DFM,T7PR,PR-L-D,TEditForm1,8,0,0,2,5,1,0,0,30
T7PRLE.DFM,T7PR,PR-L-E  Print Detail Deductions Ledger,TEditForm3,10,0,0,2,5,3,0,0,32
T7PRLF.DFM,T7PR,PR-L-F,TEditForm1,21,3,7,2,5,4,0,0,52
T7PRLG.DFM,T7PR,PR-L-G,TEditForm1,40,8,25,2,2,3,0,0,97
T7PRLH.DFM,T7PR,PR-LH,TEditForm1,54,14,28,8,1,3,0,0,112
T7PRLI.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRLJ.DFM,T7PR,PR-L-J,TEditForm2,11,1,4,2,2,2,0,0,35
T7PRLK.DFM,T7PR,PR-L-K  Print Payroll Hours,TEditForm1,9,0,0,2,5,2,0,0,31
T7PRLM.DFM,T7PR,PR-L-M,TEditForm1,8,0,0,2,5,1,0,0,30
T7PRLN.DFM,T7PR,PR-L-N  Print Payroll Wages Detail,TEditForm2,8,0,0,2,5,1,0,0,30
T7PRLO.DFM,T7PR,PR-L-O,TEditForm1,8,1,0,2,3,2,0,0,30
T7PRLP.DFM,T7PR,PR-L-P,TEditForm1,10,1,0,1,5,3,0,0,33
T7PRLQ.DFM,T7PR,PR-L-Q,TEditForm1,8,0,0,2,5,1,0,0,31
T7PRM.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRN.DFM,T7PR,New Screen,TEditForm1,7,0,0,2,5,0,0,0,28
T7PRO.DFM,T7PR,New Screen,TEditForm1,1,0,0,0,1,0,0,0,17
T7PROGINFO.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRP.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRQ.DFM,T7PR,,TImageList,0,0,0,0,0,0,0,0,1
T7PRQTRCHK.DFM,T7PR,New Screen,TEditForm2,2,0,1,0,1,0,0,0,24
T7PRS.DFM,T7PR,Enter Employee Password,TEditForm1,5,3,0,0,2,0,0,0,29
T7ProcessData.DFM,T7PR,Process Data,TEditForm1,0,0,0,0,0,0,0,0,9
t7pretag.DFM,T7PR,New Screen,TEditForm1,0,0,0,0,0,0,0,0,3
T7PSA.DFM,T7PS,New Screen,TEditForm1,10,4,2,0,2,2,0,0,35
T7PSE.DFM,T7PS,User Security Report,TEditForm1,2,0,0,0,2,0,0,0,16
T7PSEGRP.DFM,T7PS,New Screen,TEditForm3,2,0,0,0,0,0,0,1,2
T7PSEITM.DFM,T7PS,New Screen,TEditForm2,2,0,0,0,0,0,0,1,2
T7PSF.DFM,T7PS,Access to Program Report,TEditForm1,1,0,0,0,1,0,0,0,11
T7PSK.DFM,T7PS,Approve Vendor,TEditForm1,6,1,1,0,2,2,0,0,25
T7PUTAWAY.DFM,T7PU,,TImageList,0,0,0,0,0,0,0,0,1
T7QCA.DFM,T7QC,New Screen,TEditForm3,13,0,0,2,9,0,0,0,41
T7QCB.DFM,T7QC,New Screen,TEditForm2,16,1,0,2,13,0,0,0,46
T7QCC.DFM,T7QC,New Screen,TEditForm1,12,1,0,2,9,0,0,0,38
T7QCD.DFM,T7QC,New Screen,TEditForm3,18,1,0,2,13,0,0,0,51
T7QCFA.DFM,T7QC,New Screen,TEditForm1,39,12,1,2,22,2,0,0,100
T7QCFD.DFM,T7QC,New Screen,TEditForm1,6,0,0,2,3,1,0,0,25
T7QCFF.DFM,T7QC,New Screen,TEditForm1,12,3,0,0,9,0,0,0,38
T7QCGA.DFM,T7QC,,TRtnTimer,0,0,0,0,0,0,0,0,1
T7QCGD.DFM,T7QC,New Screen,TEditForm1,14,4,0,0,10,0,0,0,43
T7QCMTHD.DFM,T7QC,,TImageList,0,0,0,0,0,0,0,0,1
T7QCRESULTS.DFM,T7QC,QC Testing Results,TEditForm1,7,0,0,0,7,0,0,0,28
T7QCRSLT.DFM,T7QC,,TImageList,0,0,0,0,0,0,0,0,1
T7QCSPEC.DFM,T7QC,,TImageList,0,0,0,0,0,0,0,0,1
t7qcfb.DFM,T7QC,New Screen,TEditForm1,7,1,0,0,4,2,0,0,27
t7qcgb.DFM,T7QC,New Screen,TEditForm3,6,0,0,0,4,2,0,0,25
T7QGRID.DFM,T7QG, Quick Grid,TEditForm1,1,0,0,0,1,0,0,0,8
T7QSOALines.DFM,T7QS,New Screen,TEditForm1,9,3,3,0,3,0,0,0,40
t7qsoa.DFM,T7QS, Quick Sales Entry,TEditForm3,0,0,0,0,0,0,0,0,3
T7QTINFO.DFM,T7QT,Quote Misc. Infromation,TEditForm1,26,20,1,5,0,0,0,0,61
T7REBQC.DFM,T7RE,Recalculate QC Qty,TEditForm1,6,0,0,0,4,0,0,0,26
T7REBSS.DFM,T7RE,  ,TEditForm1,0,0,0,0,0,0,0,0,3
T7REINDEX.DFM,T7RE,,TShellExe,0,0,0,0,0,0,0,0,1
T7REPDEF.DFM,T7RE,,TImageList,0,0,0,0,0,0,0,0,1
T7REPLNK.DFM,T7RE,,TImageList,0,0,0,0,0,0,0,0,1
T7REPLNK1.DFM,T7RE,,TImageList,0,0,0,0,0,0,0,0,1
T7RemindRpt.DFM,T7RE,CM-B-D,TEditForm1,20,5,0,2,10,1,0,0,53
t7ResetDFM.DFM,T7RE,Reset DFM Settings,TEditForm1,0,0,0,0,0,0,0,0,6
t7rebwo.DFM,T7RE,New Screen,TEditForm1,9,4,0,0,5,0,0,0,38
t7redindexDD.DFM,T7RE, Reindex Data Dictionary,TEditForm1,6,0,0,0,0,6,0,0,11
T7RFQ.DFM,T7RF,RFQ,TGlyphBtn,0,0,0,0,0,0,0,0,1
T7RMAWHY.DFM,T7RM,RMA Why,TEditForm1,13,7,1,1,4,0,0,0,39
T7RMD.DFM,T7RM,,TImageList,0,0,0,0,0,0,0,0,1
T7RMDASK.DFM,T7RM,Change Location,TEditForm1,16,3,7,2,4,0,0,0,42
T7RME.DFM,T7RM,,TImageList,0,0,0,0,0,0,0,0,1
T7RMG.DFM,T7RM,BASE Blank T7 SCREEN,TEditForm1,17,0,0,2,14,1,0,0,48
T7ROA.DFM,T7RO,,TTASStrList,0,0,0,0,0,0,0,0,1
T7ROAOpts.DFM,T7RO,RO-A,TEditForm2,5,1,3,0,0,0,0,0,14
T7ROASpecs.DFM,T7RO,,TImageList,0,0,0,0,0,0,0,0,1
