code,module,description,sources
PO-I-I,PO,Print Purchase Order Changes,ISPOII
PO-I-J,PO,Print Vendor Purchase History,J6POIJ
PO-J-A,PO,Print Receipt Travelers,BKPOJA;T6POJA
PO-J-B,PO,Print Inventory in QC,BKPOJB
PO-J-C,PO,Enter Inspection Buyoffs,AUTOPOJC;BKPOJC
PO-J-D,PO,Close PO's,BKPOJD
PO-K,PO,Close Purchase Orders,BKPOK
PO-M,PO,Purchase Order Inquiry,BKPOM
PO-P,PO,View Vendors,BKPOP
PO-Q,PO,Maintain PO Delivery Dates,BKPOQ
PO-R,PO,Print Receiving Slip,T6POB
PO-T,PO,Print PO Stock Item Packing List,T6POB
PR-A,PR,Edit W-2 Data,BKPRA;BKPRP;BKPRQ
PR-B,PR,Enter Pay Info,BKPRB;BKPRD;t6prd
PR-C,PR,Print Payroll Register,BKPRC
PR-D,PR,Print Payroll Checks,BKPRB;BKPRD;t6prd
PR-E,PR,Print Employee Info,BKPRE
PR-F,PR,Maintain Tax Tables,BKPRF
PR-G,PR,Void Payroll Checks,BKPRG
PR-H,PR,Transfer Liabilities to AP,BKPRH
PR-I,PR,Print Pay History,BKPRI
PR-J,PR,Enter Time Cards,BKPRJ;BKPRJA;BKPRJB
PR-J-A,PR,Import Time Cards,ISPRJDE
PR-K,PR,Print/Post Time Cards,BKPRK
PR-L-A,PR,Print Quarterly Info,BKPRLA
PR-L-B,PR,Print QTD Earnings Register,BKPRLB
PR-L-C,PR,Print QTD Taxable Earnings,BKPRLC
PR-L-D,PR,Print Detail Earnings Ledger,BKPRLD
PR-L-E,PR,Print Detail Deductions Ledger,BKPRLE
PR-L-F,PR,Print Subject To Report,BKPRLF;T6PRLF
PR-L-H,PR,Print 940 Report,BKPRLH
PR-L-I,PR,Print W-2 Forms,BKPRLI;T6PRLI
PR-L-J,PR,Print California DE6 Form,BKPRLJ
PR-L-K,PR,Print Payroll Hours,BKPRLK
PR-L-M,PR,Print Employer Contributions,BKPRLM
PR-L-N,PR,Print Payroll Wages Detail,BKPRLN
PR-L-P,PR,Print Employee Raises,BKPRLP;BKPRLQ
PR-M,PR,Payroll Defaults,BKPRM
PR-N,PR,Purge Payroll History,BKPRN
PR-O,PR,Payroll Year End Routine,BKPRO
PR-P,PR,Enter Employee Raises,BKPRP;BKPRQ
PS-A,PS,System Users/Passwords,BKPSA
PS-B,PS,System Security Levels,BKPSB
PS-C,PS,Company Logon Access,BKPSC
