IS_JAVA_UID,IS_JAVA_PARAM_1,IS_JAVA_PARAM_2,IS_JAVA_PARAM_3,IS_JAVA_PARAM_4,IS_JAVA_PARAM_5,IS_JAVA_PARAM_6,IS_JAVA_PARAM_7,IS_JAVA_PARAM_8,IS_JAVA_PARAM_9,IS_JAVA_PARAM_10,IS_JAVA_PARAM_11,IS_JAVA_PARAM_12,IS_JAVA_PARAM_13,IS_JAVA_PARAM_14,IS_JAVA_PARAM_15,IS_JAVA_PARAM_16,IS_JAVA_PARAM_17,IS_JAVA_PARAM_18,IS_JAVA_PARAM_19,IS_JAVA_PARAM_20,IS_JAVA_PARAM_21,IS_JAVA_PARAM_22,IS_JAVA_PARAM_23,IS_JAVA_PARAM_24,IS_JAVA_PARAM_25,IS_JAVA_DATE
BSCHIBI084422A20230309,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-09
BSCHIBI084607A20230518,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-18
BSCHIBI085426A20220512,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-12
BSCHIBI085432A20220527,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-27
BSCHIBI085706A20221010,2,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-10
BSCHIBI085718A20220711,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-11
BSCHIBI090249A20220712,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-12
BSCHIBI090850A20240701,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
BSCHIBI091042A20220520,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-20
BSCHIBI091218A20220412,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-12
BSCHIBI091350A20230127,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27
BSCHIBI091431A20221014,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-14
BSCHIBI091813A20230119,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-19
BSCHIBI091834A20220621,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-21
BSCHIBI092039A20211021,2,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-21
BSCHIBI092333A20230221,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21
BSCHIBI092447A20230207,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-07
BSCHIBI093527A20220607,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-07
BSCHIBI093647A20220707,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-07
BSCHIBI093850A20211014,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-14
BSCHIBI094710A20220221,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-21
