LOC_BUFF_N,LOC_FILE_N,LOC_COMP_C,LOC_REC_SI,LOC_REC_TY,LOC_LOCATI,LOC_DESCRI
BKICREF,ISICAREF,B99,420,B,TESTDATA\,
BKICREQ,BKICREQ,B,790,B,DEFAULT\,
BKICREQ,BKICREQ,B99,790,B,TESTDATA\,
BKICTAX,BKICTAX,B,373,B,DEFAULT\,
BKICTAX,BKICTAX,B99,373,B,TESTDATA\,
BKICVAL,BKICVAL,B,35,B,DEFAULT\,
BKICVAL,BKICVAL,B99,35,B,TESTDATA\,
BKISTAX,BKISHTAX,B,89,B,DEFAULT\,
BKISTAX,BKISHTAX,B99,89,B,TESTDATA\,
BKISTAX,BKISTAX,B,89,B,DEFAULT\,
BKISTAX,BKISTAX,B99,89,B,TESTDATA\,
BKISTAX,ISISATAX,B,89,B,DEFAULT\,
BKISTAX,ISISATAX,B99,89,B,TESTDATA\,
BKLOGON,BKLOGON,B,46,B,DEFAULT\,
BKLOGON,BKLOGON,B99,46,B,TESTDATA\,
BKMATCST,BKMATCST,B,245,B,DEFAULT\,
BKMATCST,BKMATCST,B99,245,B,TESTDATA\,
BKMATRIM,BKMATRIM,B,20,B,DEFAULT\,
BKMATRIM,BKMATRIM,B99,20,B,TESTDATA\,
BKMRPFC,BKMRPFC,B,91,B,DEFAULT\,
BKMRPFC,BKMRPFC,B99,91,B,TESTDATA\,
BKMRPFC,ISAMRPF,B,91,B,DEFAULT\,
BKMRPFC,ISAMRPF,B99,91,B,TESTDATA\,
BKMRPFC,ISMRPFC,B,91,B,DEFAULT\,
BKMRPFC,ISMRPFC,B99,91,B,TESTDATA\,
BKMRPFC,ISSLSFC,B,91,B,DEFAULT\,
BKMRPFC,ISSLSFC,B99,91,B,TESTDATA\,
BKMRPPO,BKMRPPO,B,166,B,DEFAULT\,
BKMRPPO,BKMRPPO,B99,166,B,TESTDATA\,
BKMRPPO,BKSOPO,B,166,B,DEFAULT\,
BKMRPPO,BKSOPO,B99,166,B,TESTDATA\,
BKMRPPO,BKWOPO,B,166,B,DEFAULT\,
BKMRPPO,BKWOPO,B99,166,B,TESTDATA\,
BKMRPPO,ISESTPO,B,166,B,DEFAULT\,
BKMRPPO,ISESTPO,B99,166,B,TESTDATA\,
BKMRPSW,BKMRPSW,B,16,B,DEFAULT\,
BKMRPSW,BKMRPSW,B99,16,B,TESTDATA\,
BKPCKIT,BKPCKIT,B,68,B,DEFAULT\,
BKPCKIT,BKPCKIT,B99,68,B,TESTDATA\,
BKPCPLOT,BKPCPLOT,B,98,B,DEFAULT\,
BKPCPLOT,BKPCPLOT,B99,98,B,TESTDATA\,
BKPIFROZ,BKPIFROZ,B,109,B,DEFAULT\,
BKPIFROZ,BKPIFROZ,B99,109,B,TESTDATA\,
BKPILOT,BKPILCNT,B,86,B,DEFAULT\,
BKPILOT,BKPILCNT,B99,86,B,TESTDATA\,
BKPILOT,BKPILOT,B,86,B,DEFAULT\,
BKPILOT,BKPILOT,B99,86,B,TESTDATA\,
BKPIMSTR,BKPIMSTR,B,36,B,DEFAULT\,
BKPIMSTR,BKPIMSTR,B99,36,B,TESTDATA\,
BKPIPHYS,BKPIPHYS,B,152,B,DEFAULT\,
BKPIPHYS,BKPIPHYS,B99,152,B,TESTDATA\,
