table,pk_segment,pk_field,field_type,field_size,flags
BKCMCTL2,1,BKCM_CTRL_USER,0,10,DUP
BKCMCTL3,1,BKCM_CTRL_USER,0,10,DUP
BKCMCTL4,1,BKCM_CTRL_USER,0,10,DUP
BKCMCTRL,1,BKCM_CTRL_USER,0,10,DUP
BKCMCUST,1,BKAR_CUSTCODE,0,10,
BKCMDE,1,BKCM_ACCT_CODE,0,10,DUP
BKCMDTCD,1,BKCM_DTCD_DCODE,0,2,DUP
BKCMDUN,1,BKCM_DUN_REP,0,5,DUP
BKCMDUNH,1,BKCM_DUNH_ACCT,0,10,DUP
BKCMEACC,1,BKCM_ACCL_CODE,0,10,DUP
BKCMEACD,1,BKCM_ACTD_CODE,0,10,DUP
BKCMEACF,1,BKCM_ACTF_CODE,0,10,DUP
BKCMEACH,1,BKCM_ACTH_CODE,0,10,DUP
BKCMEACT,1,BKCM_ACCT_CODE,0,10,DUP
BKCMEFTM,1,BKCM_FTME_CODE,0,10,DUP
BKCMFORM,1,BKCM_FORM_CODE,0,15,DUP
BKCMFTME,1,BKCM_FTME_CODE,0,10,DUP
BKCMHCD2,1,BKCM_HCD2_HCODE,0,2,DUP
BKCMHCOD,1,BKCM_HCOD_HCODE,0,2,DUP
BKCMLEAD,1,BKCM_LEAD_SCODE,0,5,DUP
BKCMMHST,1,BKCM_MHST_MCODE,0,15,DUP
BKCMPCFC,1,BKCM_PCFC_FCODE,0,3,DUP
BKCMPCNT,1,BKCM_PCNT_CCODE,0,10,DUP
BKCMPCTF,1,BKCM_PCTF_CCODE,0,10,DUP
BKCMPCTF,2,BKCM_PCTF_REP,0,5,DUP
BKCMPCTF,3,BKCM_PCTF_TYPE,0,3,DUP
BKCMPCTH,1,BKCM_PCTH_CCODE,0,10,DUP
BKCMREP,1,BKCM_REP_REP,0,5,DUP
BKCMSBDF,1,BKCM_SBDF_BINC,2,8,DUP
BKCMTEMP,1,BKCMT_KEYF,0,20,DUP
BKCMTERR,1,BKCM_TERR_TCODE,0,4,DUP
BKCMTMP1,1,BKCMT_KEYF,0,20,DUP
BKCMTMP2,1,BKCMT_KEYF,0,20,DUP
BKCMTMP3,1,BKCMT_KEYF,0,20,DUP
BKCMTMP4,1,BKCMT_KEYF,0,20,DUP
BKCMVNDF,1,BKCM_VNDF_VCODE,0,10,DUP
BKCMVNDH,1,BKCM_VNDH_VCODE,0,10,DUP
BKCMVNFC,1,BKCM_VNFC_FCODE,0,3,DUP
BKCPEC,1,BKCP_EC_DATE,3,4,DUP
BKCPMSTR,1,BKCP_MST_CMPATH,0,66,DUP
BKDCCFG,1,BKDC_CFG_IDLEP,2,8,DUP
BKDCCLAB,1,LAB_ESSDATE,3,4,DUP
BKDCHLAB,1,LAB_ESSDATE,3,4,DUP
BKDCLAB,1,LAB_ESSDATE,3,4,DUP
BKDCPLAB,1,LAB_ESSDATE,3,4,DUP
BKDCSHFT,1,BKDC_SH_NAME1,0,25,DUP
BKDCTLAB,1,LAB_ESSDATE,3,4,DUP
BKEDIDUN,1,BKEDI_DUN_CUST,0,10,DUP
BKEDIH,1,BKAR_INV_NUM,2,8,DUP
BKEDIL,1,BKAR_INVL_INVNM,2,8,DUP
BKEDMSTR,1,BKEDI_MST_NEXTN,2,8,DUP
BKEDNOTE,1,BKEDI_NOTE_EDI,2,8,DUP
BKEDPOST,1,BKEDI_POST_INVN,2,8,DUP
