code,module,description,rwn/run_modules,dfm_forms,help_title
DI-G,DI,Import Labor,BKDIG,T7DIGSIG.DFM;T7DigSigChgPSWD.DFM,
ED-B,ED,Import EDI Orders,BKEDB;ISEDIB;ISEDIX;NBEDIB;t6edib,,Import Edi Orders
ED-C,ED,Edit EDI Orders,BKEDC,,Edit Edi Orders
ED-D,ED,Convert EDI Orders to Sales Orders,BKEDD;ISEDID;t6edid,,Convert Edi Orders To Sales Orders
ED-E,ED,Export EDI Orders,T6EDIE;t6ediex,,
ED-G,ED,Master EDI Set-up,BKEDG,,Master Edi Setup
ED-H,ED,Error report,ISEDIH,,Error Report
ES-A,ES,Copy RFQs,BKESA;BKPOA;BKPOA1;BKPOF;T6POA,,Enter Estimates
ES-B,ES,Print Estimates,BKESB,T7ESB.DFM,Print Customer Quotes
ES-C,ES,Enter Quote Templates,BKESC,T7ESC.DFM,Print Internal Estimate Sheet
ES-D,ES,Quick Estimate,,,Quick Estimate
ES-E,ES,Convert Estimates,BKESE,T7ESE.DFM,Convert Estimates
ES-F,ES,Copy Estimates,BKESF,,
ES-G,ES,Print Estimate Listing,BKESG,,
ES-H,ES,Enter Material Costs,BKESH,T7ESH.DFM,Enter Material Costs
ES-I,ES,Print Material Costs,BKESI,T7ESI.DFM,Print Material Costs
ES-K,ES,Update Inventoiry From Pr,,,Update Inventoiry From Pr
ES-L,ES,Edit Estimating Inventory,,,Edit Estimating Inventory
ES-M,ES, Estimating Inventory Inq,,, Estimating Inventory Inq
FA-A,FA,Enter Fixed Assets,,,Enter Fixed Assets
FA-B,FA,Post Depreciation,,,Post Depreciation
FA-C,FA,List Depreciation Transactions,,,List Depreciation Transactions
FA-D,FA,List Assets,,,List Assets
FA-E,FA,Import Assets,,,Import Assets
FO-A,FO,Enter Features And Options,,,Enter Features And Options
FO-C,FO,Enter Option Prices,BKFOC,T7FOC.DFM,Enter Option Prince
FO-D,FO,Print Option Prices,BKFOD,T7FOD.DFM,Print Option Price
FO-E,FO,Print Option Where Used,BKFOE,T7FOE.DFM,Print Option Where Used
FO-G,FO,Configure Item,,,Configure Item
FP-B,FP,Print Features And Options,,,Print Features And Options
GL-A,GL,Edit Budgets,BKGLA,T7GLA.DFM;T7GLARCH.DFM,View Chart Of Accounts
GL-B,GL,Add new GJ Transaction,BKGLB,T7GLB.DFM;T7GLBLIST.DFM,Enter Post General Journal Trxns
GL-C,GL,Print Gl Transactions,,,Print Gl Transactions
GL-D,GL,Print Journals,BKGLD,T7GLD.DFM,Print Journals
GL-E,GL,Print Detailed Trial Balance,,,Print Detailed Trial Balance
GL-F,GL,Print Financial Statements,BKGLF,T7GLF.DFM,Print Financial Statements
GL-G,GL,Print GL Code and Description,BKGLG,T7GLG.DFM,Print Gl Code And Description
GL-H,GL,Print Chart of Accounts,BKGLH,T7GLH.DFM,Print Chart Of Accounts
GL-I,GL,Print Check Register,BKGLI,T7GLI.DFM,Print Check Register
