logical_table,physical_file,location
BKMATCST,BKMATCST,TESTDATA
BKMATRIM,BKMATRIM,DEFAULT
BKMATRIM,BKMATRIM,TESTDATA
BKMRPFC,BKMRPFC,DEFAULT
BKMRPFC,ISAMRPF,DEFAULT
BKMRPFC,ISMRPFC,DEFAULT
BKMRPFC,ISSLSFC,DEFAULT
BKMRPFC,BKMRPFC,TESTDATA
BKMRPFC,ISAMRPF,TESTDATA
BKMRPFC,ISMRPFC,TESTDATA
BKMRPFC,ISSLSFC,TESTDATA
BKMRPPO,BKMRPPO,DEFAULT
BKMRPPO,BKSOPO,DEFAULT
BKMRPPO,BKWOPO,DEFAULT
BKMRPPO,ISESTPO,DEFAULT
BKMRPPO,BKMRPPO,TESTDATA
BKMRPPO,BKSOPO,TESTDATA
BKMRPPO,BKWOPO,TESTDATA
BKMRPPO,ISESTPO,TESTDATA
BKMRPSW,BKMRPSW,DEFAULT
BKMRPSW,BKMRPSW,TESTDATA
BKPCKIT,BKPCKIT,DEFAULT
BKPCKIT,BKPCKIT,TESTDATA
BKPCPLOT,BKPCPLOT,DEFAULT
BKPCPLOT,BKPCPLOT,TESTDATA
BKPIFROZ,BKPIFROZ,DEFAULT
BKPIFROZ,BKPIFROZ,TESTDATA
BKPILOT,BKPILCNT,DEFAULT
BKPILOT,BKPILOT,DEFAULT
BKPILOT,BKPILCNT,TESTDATA
BKPILOT,BKPILOT,TESTDATA
BKPIMSTR,BKPIMSTR,DEFAULT
BKPIMSTR,BKPIMSTR,TESTDATA
BKPIPHYS,BKPIPHYS,DEFAULT
BKPIPHYS,BKPIPHYS,TESTDATA
BKPISER,BKPISCNT,DEFAULT
BKPISER,BKPISER,DEFAULT
BKPISER,BKPISCNT,TESTDATA
BKPISER,BKPISER,TESTDATA
BKPOX,BKPOX,DEFAULT
BKPOX,BKPOXH,DEFAULT
BKPOX,BKPOX,TESTDATA
BKPOX,BKPOXH,TESTDATA
BKPRAGNT,BKPRAGNT,DEFAULT
BKPRAGNT,BKPRAGNT,TESTDATA
BKPRCOMM,BKPRACOM,DEFAULT
BKPRCOMM,BKPRCOMM,DEFAULT
BKPRCOMM,BKPRHCOM,DEFAULT
BKPRCOMM,BKPRACOM,TESTDATA
BKPRCOMM,BKPRCOMM,TESTDATA
BKPRCOMM,BKPRHCOM,TESTDATA
BKPRCURP,BKPRCURP,DEFAULT
BKPRCURP,BKPRHIST,DEFAULT
BKPRCURP,ISPRAHST,DEFAULT
BKPRCURP,BKPRCURP,TESTDATA
BKPRCURP,BKPRHIST,TESTDATA
BKPRCURP,ISPRAHST,TESTDATA
BKPRFTAX,BKPRFTAX,DEFAULT
BKPRFTAX,BKPRFTAX,TESTDATA
BKPRGLFL,BKPRGLFL,DEFAULT
BKPRGLFL,BKPRGLFL,TESTDATA
BKPRINFO,BKPRINFO,DEFAULT
BKPRINFO,ISPRAINF,DEFAULT
BKPRINFO,BKPRINFO,TESTDATA
BKPRINFO,ISPRAINF,TESTDATA
BKPRMSTR,BKPRMSTR,DEFAULT
BKPRMSTR,ISPRAMST,DEFAULT
BKPRMSTR,ISPRMSTR,DEFAULT
BKPRMSTR,BKPRMSTR,TESTDATA
BKPRMSTR,ISPRAMST,TESTDATA
BKPRMSTR,ISPRMSTR,TESTDATA
BKPRSALE,BKPRBOOK,DEFAULT
BKPRSALE,BKPRSALE,DEFAULT
BKPRSALE,ISPRSALE,DEFAULT
BKPRSALE,BKPRBOOK,TESTDATA
BKPRSALE,BKPRSALE,TESTDATA
BKPRSALE,ISPRSALE,TESTDATA
