file_id,field_id,index_num,part_num
3,36363,3,1
3,36367,3,0
3,36368,3,1
3,36869,3,1
3,36871,3,1
3,36878,3,0
3,36879,3,0
3,39681,3,0
3,39683,3,0
3,39684,3,0
3,44803,0,0
3,45317,1,0
3,50701,2,0
4,32787,1,1
5,49,0,49
6,2,0,0
6,14,35,17
6,101,0,0
6,101,1,0
6,102,0,1
6,102,2,0
6,768,6,0
6,3328,6,0
7,124,5,0
7,124,7,0
7,125,0,0
7,125,2,0
7,125,3,0
7,129,2,1
7,129,6,0
7,129,7,1
7,130,2,2
7,130,3,1
7,131,4,0
7,132,1,0
7,640,6,0
8,2,0,0
8,136,0,0
8,512,8,0
9,141,0,0
9,512,9,0
9,2048,9,0
9,32785,1,6
10,6,2,0
10,143,0,0
10,144,0,1
10,144,1,0
11,196,0,0
11,196,1,0
11,196,2,0
11,256,14,0
11,288,1,1
11,289,2,1
11,512,11,0
11,3072,11,0
