path,status,size_bytes,content_sniff,error,pt_len
\\i2s109-solidcrm\DBAMFG$\T7SODISC.RWN,OK,166941,binary_0xcd0d,,166941
\\i2s109-solidcrm\DBAMFG$\T7SOH.RWN,OK,134071,binary_0x6ab4,,134071
\\i2s109-solidcrm\DBAMFG$\T7SMTEND.RWN,OK,307474,binary_0xed51,,307474
\\i2s109-solidcrm\DBAMFG$\T7SMSD.RWN,OK,314913,binary_0x08a3,,314913
\\i2s109-solidcrm\DBAMFG$\T7SMJC.RWN,OK,606083,binary_0x6e7d,,606083
\\i2s109-solidcrm\DBAMFG$\T7SMU.RWN,OK,313236,binary_0x7797,,313236
\\i2s109-solidcrm\DBAMFG$\t7soj.RWN,OK,134135,binary_0x4818,,134135
\\i2s109-solidcrm\DBAMFG$\T7SMTSET.RWN,OK,343905,binary_0x83b2,,343905
\\i2s109-solidcrm\DBAMFG$\T7SOINFO.RWN,OK,204293,binary_0x58ad,,204293
\\i2s109-solidcrm\DBAMFG$\T7SOOJ.RWN,OK,54028,binary_0x8931,,54028
\\i2s109-solidcrm\DBAMFG$\t7sohinfo.RWN,OK,218757,binary_0xc682,,218757
\\i2s109-solidcrm\DBAMFG$\T7SOOK.RWN,OK,54028,binary_0x590a,,54028
\\i2s109-solidcrm\DBAMFG$\T7SOBIN.RWN,OK,328627,binary_0x1fc0,,328627
\\i2s109-solidcrm\DBAMFG$\T7SOGCogs.RWN,OK,325730,binary_0x2ff4,,325730
\\i2s109-solidcrm\DBAMFG$\t7soLinfo.RWN,OK,224984,binary_0x7193,,224984
\\i2s109-solidcrm\DBAMFG$\T7SOPD.RWN,OK,54028,binary_0x8be6,,54028
\\i2s109-solidcrm\DBAMFG$\T7SOGComm.RWN,OK,340678,binary_0xadfe,,340678
\\i2s109-solidcrm\DBAMFG$\T7SMJL.RWN,OK,733364,binary_0xcf9c,,733364
\\i2s109-solidcrm\DBAMFG$\T7SOPE.RWN,OK,54028,binary_0x0687,,54028
\\i2s109-solidcrm\DBAMFG$\T7SOG.RWN,OK,371392,binary_0x2b2f,,371392
\\i2s109-solidcrm\DBAMFG$\T7SOPL.RWN,OK,7275,binary_0xcb77,,7275
\\i2s109-solidcrm\DBAMFG$\T7SOB75.RWN,OK,445231,binary_0xa4e7,,445231
\\i2s109-solidcrm\DBAMFG$\T7SOAIMPLINES.RWN,OK,433098,binary_0x04ff,,433098
\\i2s109-solidcrm\DBAMFG$\T7SOPA.RWN,OK,134162,binary_0xbf58,,134162
\\i2s109-solidcrm\DBAMFG$\T7SOOB.RWN,OK,290710,binary_0xa11a,,290710
\\i2s109-solidcrm\DBAMFG$\T7SOK.RWN,OK,342936,binary_0xbdda,,342936
